n porównania przestawienia czas
2700 192555 142263 3.827 
2700 193902 142344 3.804 
2700 193381 141074 5.295 
2700 196287 143468 3.952 
2700 195432 143776 4.447 
2700 192489 139855 3.355 
2700 198766 143805 4.449 
2700 195385 143333 4.258 
2700 196955 144054 5.568 
2700 189897 137311 4.334 
2700 194587 144153 3.525 
2700 193078 140301 5.054 
2700 193670 143384 4.437 
2700 193852 141445 4.384 
2700 195110 143655 5.24 
2700 192644 142435 4.924 
2700 192013 140679 4.359 
2700 196265 143221 4.616 
2700 191587 140997 3.127 
2700 199501 143693 4.461 
2700 193611 142636 4.425 
2700 194673 142392 4.334 
2700 194114 142926 3.623 
2700 190706 141323 4.508 
2700 192857 142273 4.412 
2700 192962 142431 3.922 
2700 193442 141266 4.489 
2700 197962 143527 5.475 
2700 192291 140857 4.348 
2700 191714 141144 5.921 
2700 194922 143616 4.539 
2700 196859 144158 4.556 
2700 191687 142273 4.382 
2700 193109 142261 3.787 
2700 194240 142253 5.961 
2700 193617 142580 4.649 
2700 194069 142040 4.626 
2700 194757 141738 3.322 
2700 195125 142001 4.462 
2700 193299 141461 3.665 
2700 191695 141802 4.05 
2700 194198 142009 5.595 
2700 190651 138726 4.368 
2700 196915 142918 4.439 
2700 191874 141483 4.163 
2700 192339 138723 4.354 
2700 192428 140669 4.492 
2700 193765 141552 4.191 
2700 191723 139932 4.361 
2700 195992 143775 4.439 
2700 192466 140847 4.388 
2700 193455 142297 4.374 
2700 194043 141290 5.461 
2700 182229 134465 4.17 
2700 194533 142826 3.583 
2700 192687 141951 4.373 
2700 193297 142084 3.994 
2700 195943 143368 4.906 
2700 193296 140163 4.058 
2700 198056 144831 4.835 
2700 183785 133963 4.45 
2700 194590 142386 4.58 
2700 195621 142718 4.506 
2700 197989 143448 4.554 
2700 196957 144248 4.474 
2700 196657 141924 4.385 
2700 193515 141632 4.217 
2700 192560 141680 4.441 
2700 193089 141648 3.122 
2800 200346 148140 4.289 
2800 205731 150461 3.355 
2800 206085 148907 4.593 
2800 202778 149522 4.828 
2800 196644 143781 3.549 
2800 203804 149286 6.15 
2800 202645 146575 4.642 
2800 202467 148982 5.001 
2800 201901 147381 4.606 
2800 205019 149593 3.305 
2800 202999 148176 4.805 
2800 202307 148724 4.599 
2800 202648 148874 6.005 
2800 206150 150375 5.618 
2800 201780 148734 5.164 
2800 202524 147066 4.656 
2800 205155 148610 3.767 
2800 198911 144382 4.63 
2800 206819 151226 4.699 
2800 193214 140186 3.691 
2800 204405 150247 4.643 
2800 197827 145910 4.588 
2800 199241 145300 3.551 
2800 195912 141918 3.185 
2800 204488 147669 6.309 
2800 199824 148195 4.697 
2800 203739 149750 5.523 
2800 204397 150152 6.054 
2800 199498 143802 6.057 
2800 203266 149086 4.307 
2800 207310 151017 4.649 
2800 203604 149644 3.709 
2800 203068 149863 5.991 
2800 204639 149134 4.576 
2800 201278 147136 4.587 
2800 204744 149381 3.433 
2800 200172 145825 4.601 
2800 197563 145409 4.506 
2800 203181 149087 4.8 
2800 192979 140228 4.73 
2800 201524 147685 5.112 
2800 202088 148168 5.92 
2800 205779 150286 5.095 
2800 201537 148162 4.384 
2800 201204 146880 3.885 
2800 200968 147354 6.198 
2800 203881 148580 4.614 
2800 205383 148291 4.619 
2800 203693 148364 5.511 
2800 203744 148668 6.221 
2800 202051 147363 4.577 
2800 201681 147210 4.608 
2800 199820 148960 3.946 
2800 204148 149263 4.649 
2800 203202 148579 4.164 
2800 205972 150194 4.434 
2800 195482 142547 6.194 
2800 208464 149978 4.965 
2800 203325 148117 4.614 
2800 198475 144494 4.533 
2800 202373 148265 3.775 
2800 201407 147919 4.587 
2800 201735 149131 4.612 
2800 198269 144316 4.502 
2800 204394 147696 3.509 
2800 199759 147158 4.55 
2800 203451 148320 3.301 
2800 203752 149123 4.624 
2800 203424 149425 4.64 
2800 205080 149613 4.82 
2800 201862 148391 4.617 
2800 200948 147192 4.574 
2800 202510 148239 4.897 
2800 201595 147835 4.579 
2800 201907 146442 4.724 
2800 204743 150886 3.261 
2800 202894 148222 4.648 
2800 204386 149232 6.064 
2800 199465 146110 3.244 
2800 202642 147657 4.744 
2800 201454 147678 5.131 
2800 202243 148222 3.293 
2800 201933 149935 4.789 
2800 200010 147437 3.253 
2800 205355 148630 4.64 
2800 202202 148242 5.106 
2800 201328 147507 3.536 
2800 203122 149569 6.178 
2800 204651 148378 6.392 
2800 203643 149202 6.635 
2800 202863 146946 3.853 
2800 204722 147801 5.604 
2800 203362 149890 5.42 
2800 203533 149073 4.732 
2800 202110 148352 4.729 
2800 204864 149412 4.627 
2800 204297 148511 3.9 
2800 202262 149804 4.647 
2800 205946 149354 4.862 
2800 202577 148886 4.608 
2900 211458 155003 3.994 
2900 210493 154465 3.8 
2900 208331 152421 3.368 
2900 211971 154461 5.371 
2900 211227 154824 4.782 
2900 213366 154660 4.813 
2900 205272 148828 4.377 
2900 216001 156317 3.509 
2900 213072 155247 4.793 
2900 213915 155236 4.814 
2900 212566 156074 4.812 
2900 212441 155010 3.79 
2900 214765 155363 4.01 
2900 208251 153126 6.512 
2900 212484 155392 5.929 
2900 210520 154453 4.361 
2900 204947 150906 4.687 
2900 213936 156723 5.046 
2900 211642 155435 3.468 
2900 211911 154474 4.875 
2900 211117 154535 5.402 
2900 212507 154758 3.78 
2900 212430 155252 4.332 
2900 213018 155671 4.463 
2900 215531 157349 4.134 
2900 211941 156382 4.873 
2900 214260 156107 3.427 
2900 215261 155863 3.756 
2900 209635 154454 5.037 
2900 207308 152517 5.783 
2900 214049 157117 5.126 
2900 211303 153956 4.823 
2900 214901 156079 5.977 
2900 212358 154535 4.807 
2900 212391 155954 4.858 
2900 208735 153113 5.021 
2900 209770 153908 6.094 
2900 212498 155918 4.79 
2900 213512 156721 5.089 
2900 209039 151968 4.767 
2900 213522 156424 4.966 
2900 210595 154082 4.798 
2900 214017 155462 3.423 
2900 208320 152438 3.813 
2900 211817 154440 4.985 
2900 211883 155719 3.42 
2900 212521 154740 4.811 
2900 210098 154714 4.824 
2900 212933 156368 4.077 
2900 212740 155994 5.098 
2900 214319 156304 4.861 
2900 211423 155304 6.076 
2900 213744 158697 4.878 
2900 210682 153867 3.432 
2900 212912 154851 4.784 
2900 210973 154447 4.819 
2900 208036 152584 4.694 
2900 215386 157594 3.563 
2900 206813 152941 4.808 
2900 215488 157039 3.987 
2900 213319 155915 4.847 
2900 210688 153447 3.362 
2900 212652 155061 4.977 
2900 209188 153046 4.755 
2900 213694 153941 5.142 
2900 212905 156369 5.978 
2900 213904 156315 5.061 
2900 209623 153546 4.918 
2900 209621 153963 3.353 
2900 209926 153183 6.194 
2900 211483 154104 3.945 
2900 209333 153831 6.837 
2900 211627 155544 4.095 
2900 212444 154221 4.858 
2900 209575 154172 6.186 
2900 212043 157408 3.452 
2900 212947 155973 4.886 
2900 208235 154468 4.068 
2900 212194 154379 4.329 
2900 211525 154560 4.037 
2900 212535 155618 4.849 
2900 212787 155555 6.356 
2900 213855 156553 4.841 
2900 211650 156749 4.734 
2900 209168 154331 5.468 
2900 213049 156017 3.423 
2900 210235 155073 3.866 
2900 211728 156156 4.812 
2900 212534 156020 4.865 
2900 214343 157461 5.426 
2900 216304 157946 4.227 
2900 214681 156728 4.825 
2900 202759 148464 6.801 
2900 208518 153143 3.386 
2900 209369 154409 4.776 
2900 213314 155978 4.769 
2900 211839 154587 4.903 
2900 213460 157007 5.065 
2900 214091 154774 3.892 
2900 216476 156654 4.914 
3000 222574 162967 4.226 
3000 223961 163856 4.294 
3000 219622 161135 5.525 
3000 213875 156395 3.45 
3000 223430 163456 5.097 
3000 220362 161678 4.424 
3000 221961 163388 6.168 
3000 221217 163267 5.059 
3000 219838 161626 6.716 
3000 219022 160903 5.002 
3000 219908 161099 4.994 
3000 217724 159117 4.923 
3000 218871 162108 6.378 
3000 218199 161736 5.042 
3000 223899 162230 3.564 
3000 219176 160677 5.051 
3000 222466 161734 5.002 
3000 220612 162590 4.996 
3000 220411 161991 5.08 
3000 221165 162497 4.787 
3000 219481 161993 5.293 
3000 220574 162579 3.559 
3000 221105 162122 3.538 
3000 220604 161879 4.96 
3000 220282 161555 5.001 
3000 220702 162966 5.01 
3000 222973 162482 5.013 
3000 221109 162479 5.133 
3000 219328 161087 4.706 
3000 218148 161381 4.203 
3000 222770 161666 6.471 
3000 217322 160330 4.999 
3000 214488 156597 4.87 
3000 222817 162372 6.953 
3000 221737 162913 5.044 
3000 223036 162098 6.006 
3000 220334 162239 4.193 
3000 220486 160441 6.189 
3000 222032 162683 4.981 
3000 220816 162538 5.002 
3000 220091 162353 4.966 
3000 221497 160950 4.978 
3000 221861 161549 5.308 
3000 219271 161055 7.235 
3000 226797 165345 6.785 
3000 223357 163969 4.292 
3000 219608 161057 4.439 
3000 221032 159703 3.957 
3000 219445 159248 5.208 
3000 218967 159477 3.534 
3000 224286 163656 5.094 
3000 219154 159067 4.94 
3000 221391 161904 5.471 
3000 218528 159288 4.91 
3000 220117 161453 5.009 
3000 218237 159331 4.941 
3000 221226 163053 5.072 
3000 220052 160927 4.969 
3000 223710 162494 5.23 
3000 218353 159413 5.437 
3000 220390 162073 3.834 
3000 218995 161511 4.322 
3000 220570 160122 4.239 
3000 219026 162237 5.179 
3000 218053 159447 5.065 
3000 219873 160814 4.36 
3000 221939 160959 6.377 
3000 218982 159776 6.525 
3000 223122 160963 5.103 
3000 221584 160946 5.128 
3000 223243 162044 6.667 
3000 226815 164689 4.634 
3000 222358 162644 3.555 
3000 224237 164653 4.321 
3000 220938 161424 5.126 
3000 218426 162690 4.974 
3000 219826 162341 5.068 
3000 221756 160579 5.002 
3000 220953 162457 5.063 
3000 218013 160380 4.995 
3000 220207 160652 3.56 
3000 218971 160999 4.958 
3000 214675 158013 5.094 
3000 217041 158770 6.031 
3000 219381 160983 5.033 
3000 221999 160919 6.534 
3000 221571 162346 5.145 
3000 220176 160883 3.776 
3000 221153 162389 3.531 
3000 222970 161686 5.183 
3000 220106 163283 5.098 
3000 220130 162076 5.184 
3000 218500 158328 4.924 
3000 220910 163105 5.032 
3000 217904 160605 5.882 
3000 223228 162504 5.144 
3000 216051 159763 4.972 
3000 223587 163810 5.08 
3000 221916 162275 3.602 
3000 224018 162511 4.025 
3100 230696 168883 3.953 
3100 225926 165282 3.802 
3100 233483 170242 4.747 
3100 226882 166236 3.638 
3100 230401 167855 5.299 
3100 229844 167774 4.032 
3100 230685 169357 3.703 
3100 230462 168373 3.871 
3100 229189 169235 3.708 
3100 228016 166650 5.356 
3100 234893 170148 5.437 
3100 228415 169062 5.187 
3100 227161 166453 5.528 
3100 227794 168969 7.221 
3100 227202 167024 5.231 
3100 230669 167554 7.432 
3100 231371 168868 5.225 
3100 229849 167082 5.186 
3100 229309 169892 3.701 
3100 227958 165323 4.753 
3100 229791 168737 5.181 
3100 227199 167648 5.194 
3100 231350 168850 5.213 
3100 226910 167205 3.647 
3100 233580 170343 4.181 
3100 227583 167686 5.668 
3100 232545 168060 5.318 
3100 228825 169312 5.287 
3100 229912 168999 6.991 
3100 233053 169296 3.705 
3100 223301 164761 6.687 
3100 228832 167246 3.69 
3100 227880 164739 3.629 
3100 230037 167057 4.387 
3100 225146 164943 4.928 
3100 229998 167068 5.168 
3100 228792 167938 5.158 
3100 230727 167967 5.216 
3100 227332 165081 5.086 
3100 222210 160090 4.995 
3100 224435 163037 4.816 
3100 227084 167591 6.857 
3100 213608 156211 4.514 
3100 229753 168807 5.372 
3100 228589 168220 4.061 
3100 230580 169294 5.196 
3100 232221 168604 5.227 
3100 227139 166109 5.134 
3100 230543 170324 5.204 
3100 230422 167569 4.27 
3100 228943 167771 3.695 
3100 220153 159910 4.175 
3100 230066 168537 5.539 
3100 228697 169680 6.492 
3100 227389 168274 5.16 
3100 230089 169665 3.71 
3100 228772 165971 5.398 
3100 229447 168697 5.191 
3100 225415 165270 5.073 
3100 229113 168837 5.27 
3100 231032 169075 4.335 
3100 228861 166969 3.81 
3100 229411 169609 5.205 
3100 227552 168476 5.144 
3100 229948 168426 5.138 
3100 228836 169055 6.308 
3100 231041 168460 6.92 
3100 228770 167311 5.175 
3100 229921 168781 5.292 
3100 230513 169445 5.206 
3100 227969 167133 5.167 
3100 229407 168215 5.266 
3100 230428 169261 5.191 
3100 228592 167844 3.671 
3100 224774 166185 3.705 
3100 229441 167558 3.702 
3100 225999 167831 5.087 
3100 227813 167498 5.077 
3100 231956 167871 5.239 
3100 232179 169581 6.209 
3100 227885 167916 4.817 
3100 228365 169326 5.477 
3100 227236 168344 5.464 
3100 230858 168884 3.687 
3100 230355 169537 5.164 
3100 228258 166533 5.184 
3100 227598 169230 5.152 
3100 231601 170468 4.621 
3100 224706 165301 6.741 
3100 228619 168172 7.396 
3100 234387 171205 5.272 
3100 232216 168260 5.267 
3100 232977 169887 3.719 
3100 229367 168296 6.964 
3100 227077 166898 5.401 
3100 227749 168433 5.165 
3100 227719 169420 5.326 
3100 227561 168393 3.657 
3100 227264 166660 5.12 
3100 228636 166713 3.677 
3200 227996 166480 4.77 
3200 234323 172208 5.018 
3200 232326 171563 6.779 
3200 236509 175357 3.818 
3200 236871 175109 3.834 
3200 239258 175342 3.99 
3200 236244 174982 4.381 
3200 238038 173497 3.821 
3200 229477 168934 3.693 
3200 233482 172113 6.279 
3200 233952 171608 5.297 
3200 240693 175574 5.452 
3200 236830 173496 5.563 
3200 239061 174086 5.375 
3200 237818 174382 5.366 
3200 239016 175866 5.469 
3200 236680 173486 5.691 
3200 237327 174195 6.161 
3200 239723 175824 3.815 
3200 236782 173995 4.395 
3200 235746 173996 3.945 
3200 236419 174251 5.362 
3200 236902 173617 5.345 
3200 231498 170360 5.284 
3200 236992 176031 5.59 
3200 239051 175921 5.485 
3200 238314 175191 5.396 
3200 237015 175380 5.455 
3200 233270 174416 5.358 
3200 239067 173974 4.566 
3200 239116 174338 3.807 
3200 239875 175895 6.841 
3200 239766 175846 5.806 
3200 234291 172999 5.326 
3200 226258 165838 5.149 
3200 225162 165212 6.885 
3200 233298 173838 4.291 
3200 235389 173584 4.873 
3200 240256 177085 3.93 
3200 235821 174316 6.318 
3200 238687 172887 5.364 
3200 239879 176618 5.647 
3200 239941 173995 5.394 
3200 239170 174705 5.365 
3200 239774 175384 4.978 
3200 237048 174282 5.131 
3200 241866 176501 5.525 
3200 238337 174750 5.342 
3200 240734 174684 4.712 
3200 234990 174893 5.548 
3200 239186 174465 3.866 
3200 237931 174989 3.83 
3200 234778 171749 5.579 
3200 236575 174738 5.511 
3200 234905 172319 5.353 
3200 236194 175035 3.816 
3200 239255 174966 5.404 
3200 238605 174177 5.365 
3200 237089 174191 3.789 
3200 238594 175332 5.423 
3200 239452 174321 3.999 
3200 240668 176268 5.433 
3200 235118 172745 5.353 
3200 239734 175065 5.451 
3200 237572 174475 3.961 
3200 239288 175311 5.438 
3200 237279 173841 5.311 
3200 237649 173642 5.465 
3200 235203 172976 5.483 
3200 236472 172823 5.391 
3200 237564 174281 7.159 
3200 238661 174216 5.361 
3200 236769 173909 5.34 
3200 235967 174324 4.522 
3200 237154 173623 3.826 
3200 238569 174326 6.351 
3200 240991 175610 5.388 
3200 238891 175476 3.823 
3200 231761 167938 5.195 
3200 237891 173741 3.815 
3200 237235 174157 5.333 
3200 238272 173302 5.462 
3200 236635 172749 3.819 
3200 238343 174416 5.519 
3200 236382 173855 5.588 
3200 235413 174122 5.324 
3200 237667 174873 7.084 
3200 236687 173589 6.197 
3200 239408 175171 3.928 
3200 233009 171962 3.751 
3200 237443 173148 5.341 
3200 235648 172349 5.29 
3200 238044 175613 5.455 
3200 237509 173950 5.659 
3200 237740 174401 5.575 
3200 237564 173168 5.51 
3200 237960 175133 5.592 
3200 232993 170100 5.047 
3200 237562 174219 4.947 
3200 237728 174372 3.821 
3300 245431 180070 4.775 
3300 242312 179035 6.399 
3300 250267 182080 4.023 
3300 243937 180475 4.3 
3300 245183 181471 6.98 
3300 244822 180815 3.97 
3300 224469 161762 5.11 
3300 245365 182084 5.558 
3300 235745 173562 5.456 
3300 247866 180198 5.304 
3300 244130 180081 7.443 
3300 245871 180318 3.909 
3300 246619 179079 5.581 
3300 245571 180398 3.928 
3300 245754 181927 3.916 
3300 248319 180332 6.756 
3300 243928 180741 4.311 
3300 248772 181320 6.745 
3300 247683 179769 4.148 
3300 248176 181829 3.943 
3300 241170 175947 3.836 
3300 236357 172113 6.177 
3300 246835 181120 5.225 
3300 245488 180340 3.959 
3300 243567 178929 7.766 
3300 247621 181042 5.536 
3300 244056 178268 5.603 
3300 245362 179634 5.663 
3300 244912 179506 5.634 
3300 247798 180991 5.564 
3300 246728 180102 4.241 
3300 250915 182058 5.605 
3300 244976 178864 5.505 
3300 249846 180960 4.33 
3300 247828 181075 5.791 
3300 247156 182357 5.563 
3300 249320 181591 7.456 
3300 234967 169575 5.367 
3300 245840 180148 3.964 
3300 245948 180899 6.329 
3300 246465 181569 5.535 
3300 247093 181033 5.577 
3300 243827 179482 3.902 
3300 247291 180967 4.095 
3300 244652 178640 4.374 
3300 245924 179352 5.572 
3300 243067 177663 4.244 
3300 239905 177343 5.687 
3300 244949 180861 5.567 
3300 244705 181012 5.566 
3300 249551 182612 4.501 
3300 245601 180074 3.916 
3300 235934 172057 5.379 
3300 248477 182286 5.28 
3300 245881 181409 5.546 
3300 246875 180550 5.587 
3300 246037 181181 6.211 
3300 248916 180218 7.353 
3300 241720 176663 4.695 
3300 244446 179706 5.522 
3300 243623 179668 5.536 
3300 248376 180450 5.65 
3300 246450 181424 6.004 
3300 242097 179350 6.455 
3300 235178 170965 3.79 
3300 245420 180334 7.198 
3300 246210 180255 7.117 
3300 241946 178201 5.603 
3300 245798 179985 5.539 
3300 248724 181140 5.489 
3300 243763 178688 3.934 
3300 241154 176720 4.458 
3300 244737 180748 3.916 
3300 245300 179501 3.974 
3300 243928 180300 3.956 
3300 246918 180413 5.95 
3300 241975 178484 5.689 
3300 244902 178966 5.822 
3300 248529 180786 5.205 
3300 247385 182216 5.574 
3300 243889 176659 5.708 
3300 247806 180533 5.552 
3300 243913 180128 4.457 
3300 246994 179820 5.733 
3300 247474 179595 6.303 
3300 243196 178523 5.539 
3300 246895 180417 3.978 
3300 247943 181334 6 
3300 245007 179354 3.912 
3300 242707 179028 3.891 
3300 244541 179180 5.563 
3300 244163 181534 3.945 
3300 247873 181433 3.991 
3300 249634 181026 5.948 
3300 244915 181906 5.525 
3300 248676 182232 5.631 
3300 245207 180357 5.098 
3300 245614 179115 5.543 
3300 247515 179629 5.554 
3300 245963 180038 3.946 
3400 252763 183727 4.052 
3400 254224 186593 4.204 
3400 256623 187757 4.092 
3400 251957 186849 5.765 
3400 253608 186985 5.7 
3400 251079 184409 5.289 
3400 252672 187466 5.453 
3400 256130 187714 6.095 
3400 255981 185651 7.338 
3400 255833 188216 6.038 
3400 253399 185994 5.659 
3400 256407 188161 6.014 
3400 253696 188033 5.774 
3400 254163 187771 5.682 
3400 250376 184184 5.948 
3400 254595 185312 4.046 
3400 257313 185878 5.293 
3400 251854 185626 5.704 
3400 253653 186621 5.803 
3400 252911 186194 7.191 
3400 254332 186221 7.17 
3400 254556 187202 6.552 
3400 254513 186331 6.353 
3400 255392 185220 6.891 
3400 255069 187536 5.676 
3400 248380 184065 6.114 
3400 250967 184532 4.017 
3400 252060 186006 6.163 
3400 248214 183895 7.861 
3400 252321 185407 5.682 
3400 250470 182014 3.962 
3400 251131 185468 4.025 
3400 253750 188079 4.082 
3400 250342 181656 7.188 
3400 254525 187537 5.736 
3400 251476 184567 5.69 
3400 258532 190416 4.144 
3400 255056 187453 6.227 
3400 251033 185547 6.145 
3400 253821 186768 5.969 
3400 252276 187140 5.67 
3400 256694 187761 4.08 
3400 252396 187228 7.88 
3400 257765 187685 5.062 
3400 250449 184180 5.59 
3400 252346 186969 5.71 
3400 255119 187893 6.577 
3400 250760 185230 4.187 
3400 255183 186956 4.059 
3400 253938 185929 5.834 
3400 257439 189048 4.2 
3400 251907 185203 4.029 
3400 255346 188151 5.749 
3400 256002 187288 5.749 
3400 256463 187175 4.093 
3400 255185 186641 5.836 
3400 255033 188677 7.672 
3400 251836 184849 5.876 
3400 252760 184081 3.976 
3400 243284 177739 5.763 
3400 254019 187526 5.755 
3400 249382 183576 4.571 
3400 254658 186883 4.059 
3400 251867 186306 4.039 
3400 253601 187940 5.75 
3400 251538 183445 3.989 
3400 250585 185040 4.033 
3400 257460 188606 4.158 
3400 253138 187555 4.04 
3400 257153 189555 4.087 
3400 258224 190159 4.124 
3400 255044 188451 5.143 
3400 251481 183018 5.6 
3400 255154 188405 5.732 
3400 252752 185944 4.017 
3400 253649 184810 5.676 
3400 256426 187970 5.59 
3400 256202 188371 5.797 
3400 254092 187641 7.311 
3400 256069 187020 5.206 
3400 254221 185607 4.071 
3400 252900 184704 5.656 
3400 246236 179318 5.728 
3400 250171 183629 7.609 
3400 255326 187953 7.918 
3400 253122 187520 5.761 
3400 253751 188290 4.057 
3400 256828 186993 5.103 
3400 254117 187440 6.133 
3400 252162 186581 5.686 
3400 253993 188656 5.982 
3400 255764 187448 4.129 
3400 255213 186973 7.879 
3400 258529 188830 4.08 
3400 249879 184052 5.822 
3400 250300 186130 4.056 
3400 246184 181344 5.658 
3400 254326 186070 6.014 
3400 257177 187592 5.743 
3400 253457 187801 6.251 
3500 263900 194067 5.273 
3500 260120 191764 4.327 
3500 262549 193151 5.545 
3500 258976 191587 7.376 
3500 262401 194158 6.769 
3500 261452 194524 5.936 
3500 261957 192645 5.992 
3500 259286 192306 6.005 
3500 263432 194068 5.559 
3500 251988 186189 5.711 
3500 265205 195604 5.938 
3500 264032 195454 4.626 
3500 261508 193906 5.93 
3500 264940 194961 6.218 
3500 262330 194298 5.908 
3500 265548 193729 5.916 
3500 259612 192500 4.177 
3500 267682 194954 6.168 
3500 261754 193273 5.23 
3500 263083 194641 5.926 
3500 259026 188427 5.749 
3500 266740 195346 7.866 
3500 260043 192326 5.906 
3500 265893 196948 5.034 
3500 260038 191759 5.813 
3500 262592 192457 5.791 
3500 260992 190233 4.148 
3500 263554 194657 4.204 
3500 262124 191609 6.48 
3500 258972 191788 6.118 
3500 259754 190484 5.78 
3500 266561 194551 4.239 
3500 262665 194126 8.45 
3500 262999 192739 4.213 
3500 264238 193641 4.184 
3500 260872 192510 5.903 
3500 263741 192997 4.16 
3500 265353 193552 5.924 
3500 262831 191399 6.057 
3500 262897 193735 6.193 
3500 261362 192467 5.843 
3500 260918 195038 6.626 
3500 262588 193754 6.038 
3500 259667 192844 4.11 
3500 261900 194196 4.194 
3500 259860 193605 6.811 
3500 260751 193430 5.874 
3500 261737 194697 7.06 
3500 263457 194537 5.932 
3500 261034 190762 4.131 
3500 261016 192904 7.127 
3500 262323 193995 6.463 
3500 261341 190025 5.113 
3500 266227 195542 6.163 
3500 263280 193253 7.2 
3500 261739 192938 5.043 
3500 267903 196451 6.332 
3500 260249 191499 6.964 
3500 264343 194331 5.957 
3500 259570 192140 5.447 
3500 261000 192685 7.645 
3500 260023 191646 5.869 
3500 265307 195481 6.304 
3500 262116 194594 5.901 
3500 248960 183296 5.275 
3500 267437 195789 7.661 
3500 265533 194660 6.572 
3500 263077 195146 6.497 
3500 264353 194877 5.993 
3500 262346 194823 5.933 
3500 263464 195134 4.453 
3500 263357 194363 5.937 
3500 264641 191765 5.886 
3500 265419 194904 7.14 
3500 263271 195009 5.962 
3500 263153 195306 5.892 
3500 264559 195846 5.937 
3500 260951 192278 6.166 
3500 264425 192798 6.126 
3500 264164 194333 4.186 
3500 266825 196816 5.962 
3500 262378 193467 4.35 
3500 264475 194313 6.175 
3500 264691 192624 6.351 
3500 262977 192812 5.898 
3500 260886 193114 5.911 
3500 259377 190876 4.92 
3500 266869 195953 4.212 
3500 262152 193188 4.166 
3500 261495 194420 5.879 
3500 262006 192754 4.153 
3500 265462 194297 5.66 
3500 264232 194299 5.959 
3500 261430 193135 4.97 
3500 266023 196681 6.524 
3500 262572 192343 6.871 
3500 258805 189343 5.839 
3500 260889 192330 5.876 
3500 264314 192419 5.925 
3500 261481 192801 5.879 
3600 271609 199762 4.889 
3600 271299 199738 4.334 
3600 272680 201157 6.145 
3600 266600 194547 5.964 
3600 272316 196918 5.487 
3600 269118 199346 6.068 
3600 269183 200206 4.315 
3600 268560 198352 6.516 
3600 274254 199695 4.327 
3600 269435 199530 6.15 
3600 269493 198980 6.803 
3600 273718 200790 6.135 
3600 269119 199212 6.955 
3600 267696 197619 6.272 
3600 266501 195678 6.344 
3600 269203 197843 4.494 
3600 272330 199173 6.057 
3600 272135 198979 6.094 
3600 271350 197970 4.314 
3600 271344 200115 6.161 
3600 273345 203115 6.181 
3600 271986 198950 6.073 
3600 271357 200230 4.318 
3600 268555 198021 5.054 
3600 273989 200606 6.096 
3600 269626 198657 4.346 
3600 276189 201523 4.386 
3600 271884 200273 6.118 
3600 273950 199338 6.122 
3600 270527 200154 7.445 
3600 273454 200268 5.572 
3600 267576 199069 4.796 
3600 274486 200320 6.12 
3600 271178 199172 6.082 
3600 274266 201510 7.185 
3600 269517 197112 4.279 
3600 267023 196067 5.971 
3600 271868 199927 6.088 
3600 270976 200695 6.145 
3600 268760 197818 5.644 
3600 267942 198759 6.077 
3600 268363 198203 5.987 
3600 266892 198244 7.172 
3600 272545 200267 6.417 
3600 275310 200261 7.734 
3600 268645 199171 6.056 
3600 272181 197830 6.087 
3600 270931 200728 4.37 
3600 271255 196881 6.183 
3600 266437 198620 4.299 
3600 270710 198894 6.049 
3600 270003 199474 6.046 
3600 268002 196762 4.267 
3600 269329 199007 4.284 
3600 269094 198603 6.053 
3600 267918 198315 5.55 
3600 272868 198009 4.337 
3600 274723 201494 4.73 
3600 272770 198488 6.164 
3600 273003 202032 6.165 
3600 266322 196707 5.616 
3600 271293 199155 4.595 
3600 271440 200690 4.316 
3600 271405 201030 4.635 
3600 269901 198391 4.31 
3600 270700 198847 6.105 
3600 268474 197872 7.821 
3600 270198 200094 6.053 
3600 268527 198659 6.126 
3600 267589 197555 6.045 
3600 271634 199243 6.069 
3600 268010 195937 6.521 
3600 269843 198758 6.349 
3600 273305 198609 6.089 
3600 266414 196855 5.053 
3600 272386 200888 6.073 
3600 270746 200566 4.715 
3600 270354 198973 4.268 
3600 269097 198443 6.001 
3600 271217 199535 6.091 
3600 271026 200252 6.1 
3600 270544 200920 6.127 
3600 275967 200665 6.144 
3600 272989 200002 6.068 
3600 266946 197397 6.002 
3600 272574 200239 6.973 
3600 274338 199950 6.947 
3600 269337 198362 5.785 
3600 271029 199486 6.043 
3600 271390 199393 6.811 
3600 266656 193411 5.779 
3600 271647 200454 6.075 
3600 270961 200773 6.098 
3600 269124 198054 6.067 
3600 268317 199407 7.731 
3600 273230 198918 6.366 
3600 270190 199432 4.303 
3600 272360 202575 6.66 
3600 269346 194133 6.341 
3600 268586 198284 8.967 
3700 273843 202539 4.937 
3700 277514 203638 4.498 
3700 276819 204669 7.262 
3700 273877 201756 6.127 
3700 281569 205320 6.337 
3700 278163 205062 6.226 
3700 280812 207117 6.325 
3700 274551 202833 7.158 
3700 278573 204919 4.855 
3700 282113 205114 6.289 
3700 281663 204128 4.454 
3700 275095 203306 4.428 
3700 275001 201675 4.392 
3700 277944 206624 6.279 
3700 275489 206616 7.601 
3700 279334 204781 6.334 
3700 277295 202560 6.256 
3700 274066 202318 6.178 
3700 281120 205314 4.411 
3700 279090 205540 6.369 
3700 278405 203927 6.224 
3700 283695 206626 5.671 
3700 279751 206026 6.237 
3700 264836 194240 5.9 
3700 281842 208369 6.33 
3700 268202 194331 4.289 
3700 276322 202444 6.172 
3700 280893 207879 5.532 
3700 279139 203819 6.876 
3700 278099 206256 4.418 
