n porównania przestawienia czas
300 13200 9297 0.34 
300 13154 9155 0.341 
300 13546 9373 0.349 
300 14333 9974 0.369 
300 14224 9920 0.367 
300 14408 9917 0.364 
300 13923 9659 0.358 
300 14006 9666 0.356 
300 13216 9151 0.341 
300 13852 9785 0.361 
300 13677 9711 0.351 
300 13079 9139 0.537 
300 13966 9913 0.258 
300 13929 9661 0.356 
300 13826 9704 0.361 
300 13720 9701 0.363 
300 13858 9527 0.352 
300 13798 9654 0.355 
300 13679 9567 0.348 
300 14033 9876 0.381 
300 13007 8858 0.336 
300 13789 9737 0.361 
300 14118 9884 0.381 
300 13842 9770 0.539 
300 13650 9602 0.353 
300 13273 9202 0.342 
300 13697 9541 0.355 
300 14207 10013 0.364 
300 14188 9986 0.388 
300 13981 9850 0.361 
300 13339 9330 0.344 
300 13652 9597 0.589 
300 14217 9944 0.363 
300 14546 10136 0.367 
300 13056 9316 0.345 
300 13762 9765 0.351 
300 13976 9769 0.358 
300 14294 10135 0.373 
300 13473 9458 0.358 
300 13489 9571 0.363 
300 14015 9747 0.359 
300 13401 9421 0.373 
300 13977 9704 0.359 
300 13929 9879 0.358 
300 13554 9411 0.349 
300 13775 9756 0.54 
300 13205 9314 0.342 
300 13847 9740 0.364 
300 13713 9548 0.543 
300 13590 9680 0.363 
300 13780 9613 0.353 
300 13502 9595 0.53 
300 14109 9851 0.366 
300 13507 9537 0.529 
300 14265 9824 0.363 
400 19828 13996 0.732 
400 20293 14167 0.374 
400 19989 13961 0.425 
400 19762 14071 0.683 
400 20233 14204 0.416 
400 20286 14236 0.739 
400 19769 13895 0.489 
400 20253 14332 0.511 
400 19359 13891 0.497 
400 20335 13760 0.494 
400 19852 14005 0.496 
400 19922 14142 0.505 
400 18995 13420 0.484 
400 19486 13827 0.497 
400 20421 14364 0.512 
400 19465 13809 0.493 
400 20590 14392 0.507 
400 19666 13956 0.503 
400 19110 13528 0.517 
400 20281 14193 0.759 
400 20315 14302 0.51 
400 19401 13793 0.49 
400 19617 13893 0.498 
400 20608 14279 0.511 
400 19562 13711 0.492 
400 19448 13859 0.496 
400 19686 13745 0.498 
400 20134 14027 0.527 
400 20060 14294 0.504 
400 19818 13980 0.494 
400 20262 14115 0.678 
400 20240 14072 0.771 
400 20117 14185 0.753 
400 20103 14273 0.54 
400 20310 14246 0.505 
400 19920 14213 0.499 
400 19595 13686 0.768 
400 18883 13424 0.708 
400 19222 13734 0.512 
400 20135 14264 0.553 
400 19817 13937 0.741 
400 20050 14250 0.507 
400 20115 14106 0.5 
400 19405 13681 0.488 
400 19577 14137 0.507 
400 20171 14171 0.504 
400 19569 13981 0.528 
400 19707 13996 0.498 
400 20113 14314 0.502 
400 20894 14551 0.512 
400 20314 14209 0.507 
400 19572 13849 0.495 
400 19481 13949 0.701 
400 19856 14171 0.71 
400 19433 13821 0.739 
400 19923 14166 0.77 
400 19751 14041 0.507 
400 19819 13975 0.507 
400 20424 14400 0.529 
400 20086 14338 0.518 
400 18444 13093 0.469 
400 20096 14000 0.498 
400 20090 14073 0.502 
400 20074 13841 0.499 
400 19427 13557 0.492 
400 19817 14087 0.775 
400 19903 13773 0.801 
400 18775 13263 0.341 
400 19953 14162 0.541 
400 19624 13887 0.495 
400 19238 13576 0.488 
400 18881 13128 0.499 
400 20237 14369 0.509 
400 19809 13872 0.498 
400 20158 14217 0.503 
400 20448 14451 0.515 
400 20153 14289 0.512 
400 20367 14102 0.506 
400 19590 13676 0.486 
400 20056 14068 0.507 
400 20012 14121 0.505 
400 19014 13261 0.485 
400 19394 14011 0.529 
400 19834 14182 0.752 
400 19829 13849 0.494 
400 19844 13852 0.49 
400 19880 14103 0.537 
400 20411 14160 0.352 
400 19470 13830 0.514 
400 20450 14159 0.509 
400 19306 13287 0.547 
400 19404 13727 0.737 
400 18585 12942 0.468 
400 20078 14049 0.5 
400 19908 13946 0.558 
400 20280 14044 0.536 
400 20362 14214 0.503 
400 19432 13843 0.496 
400 19839 14051 0.497 
400 19778 14164 0.505 
500 26186 18501 1.089 
500 25684 18456 0.47 
500 25576 18110 0.479 
500 25762 18455 0.484 
500 25990 18458 0.454 
500 25256 17966 0.653 
500 25762 18410 0.686 
500 25841 18281 0.639 
500 26229 18499 0.972 
500 25919 18675 0.933 
